path,lines,bytes,sha256
.htaccess,11,345,42fefc267226e79f6429ffcd875fd888d95d1a46057cef981e89de400c9abeea
CHANGELOG-v4.txt,14,1126,9376c9c3f32600bd67323891df5a07f8cd80d0bab92e8be9cf6675a454e1f532
CHANGELOG-v5-fix.txt,29,1920,bc85da1c9ce69b1065566281d3a624d89d37ddc32ae9ff93b6e68fefb6bdb6f8
CHANGELOG-v5-hotfix-2.txt,12,757,805c8879ebc89ad60b8777f391b24b81aa0cb7711e3486798efccd55556c1bb8
CHANGELOG-v5-ui-admin-update.txt,28,1640,238628978ba1e4bbb0937e56198796cb161a51c8e55b1be3070e066e7795da74
CHANGELOG-v5.txt,8,548,1237e15fa60ff6a537eb570175bd78f469432ae96076eabce2c7dbe81cad53d1
README.md,37,1368,26df66e7881c9058c9d7a55ce5ad7b92da889ac1c5e43588325c8b094e0e623c
admin/admins.php,199,13325,1d714882a5cb96a2e87ab95d6f072df81dc4a3cc53430605f7207e611eb56d16
admin/api_keys.php,302,20851,b7531e719403fae7ddf277c0377b010faf13acebec1209628ee53bf63e6b0f9d
admin/assets/css/admin-ui.css,401,16520,a18773b97f793cd86c011df1fe9bf472613749f26660a9e9a4220582e89d5913
admin/assets/js/admin-ui.js,283,14482,5722297eec36a653241520b19a2217f9c4653aa43f6c1db6d05758264201e5da
admin/audit.php,14,2785,5c6e5b54f2b49c89709e1a2330833c39614769e5ad92e7988fdb7a0a50a12c02
admin/backup.php,145,8428,76734989e5e98797b77f5666ea1ea080de09f5add4a6c784c5d6c27b3e350385
admin/device.php,139,10969,d01b4de6c7323f2fdced6ee035b67220c84ae03bd92f1829794fd42094a4ceba
admin/health.php,16,2411,3348dee0b9c0440d748696af81c0d0ac80b735fdd0908022d9061e551cd2f64c
admin/includes/navbar.php,78,4343,3aedbf7212e6ae6eaaec2ef8aec0271386414b9d50f5a107fb7a6ab70fc19da3
admin/index.php,366,20274,dcb155f5b6a9d403e58f6a26b7dded66f305f64b7ffb7a992343e44c803c6373
admin/license.php,538,35694,1a5eb5fcbbb4156352f6d37155ea198f4f1b734b6d30fc57a20a2626a698925e
admin/login.php,111,5064,a87eb4405f3f4d5341acc61b83a01b77cf032d5852049274d63bdbe0bebd12e3
admin/logout.php,8,128,651988383d943abfdd6882235e9a6381584da9bc1302d466e80b7f7e62d5f22f
admin/logs.php,112,8941,5043274e72f1a9020190c2fd26b0885ec838152328a83987dc4bfb01dab13846
admin/settings.php,191,17365,9e360f4f0e5f34bc70afa04fd46cd12cc440c6ba1ef3f0a9dce6477a9c2066d0
api/check_license.php,36,1159,2ab7054d5cd72ed7d9c0600c16c5a81f1f9d240ad9dc6ac58e34d9a9b5ac9801
api/verify.php,436,14660,95a9e124208b19f63b2c2e55d0fbcbbf62290e339e634b93a4de949793b2c33a
config.sample.php,9,507,a9eae6e20ace9ca8f57d609ad994e31721190ced3d6c57aafab1d5fc602a5107
cron/check_expiring.php,32,1177,39325b6f610857d1fb37ccf80d8b46f1bf1ea91221fea6a1ab4a003c7c1a86ea
cron/cleanup.php,53,2313,dd72218f06dece11d2edeb059d405342927d03914b5907a31d5b40d4fdde2c18
database.sql,3257,464861,f70cd0adb5229a49cc87d7b6fb27defc2388b7843b43534735e328a7e484f053
includes/.htaccess,1,19,fa28d421a28ed9b6f4b997d5119c2b8adbacff6e2dd119a179b71230f9664934
includes/admin_helpers.php,141,5311,65fc47297c3628d1225ec0ff720e962c0b07c22bdc9f46ddb5bfbc5863a2947b
includes/auth.php,204,8023,baf547a0faa836cf519a9b54455fd251bebd9f0230db3c81cd7411509197e21e
includes/config.php,92,3530,ac4443ca68e169f82ac69ceaf2ceae47913ab8e59639fc3977401a38f32e3f76
includes/database.php,35,1252,26e5a6094285cc911ba9b4aadd59a9f4037cab1ddc703c1c958bbde5594e7a94
includes/functions.php,526,21921,be572293fca6c6e8196f1a0166470267641552251c45fbf85cc8c8342520c29d
includes/security.php,140,5334,4ba62d184d01a937a0957e0ef679dcd713d610df55ed9d106f0b14d44286a3fa
includes/validation.php,70,2405,d770dbeb324ea6daa06c0ba400b42e0162a412d7bb3e217825da30a77f0e8866
index.php,27,1438,af0652a968328b36c389e451a158b9ba412de4a0cf290af9e572f8deeed9c229
install.php,187,8923,efb3edd07b1873bce5011f63c4b21e3da7ca940251e95de6d3a31f9eb0f8c3c2
licensesystem,26,1344,1df08b9e7e699c319fc55a745767db2cc8279fc5a01fd67bff6553b70a31e0e4
migration-v4.sql,35,1375,a45793f40329da0b48e71a2c2da19b9b1c17457fe00000d18007ea8cd59cb243
migration-v5-fix.sql,12,687,16cf4e0beae4e13e91003c439377893becaec8876718e8e02dad2801104b96f3
migration-v5-hotfix.sql,11,585,e735acebfdad6254ca8fc6d6bbec28af2d35db41d6bf43fa77da1e2605e8ed62
migration-v5.sql,14,656,2622592c14de6621cf0695dd76fb21957cc1ea49dcf338c44e0c4f3cdd93eef0
migration.sql,3,286,3da777f815bb3bc5e766be01cc5872ef1630623e4da3e4fa8f4f0b0716fa6db0
php-lint-navfix.txt,22,1422,922255e9a15399929f634fc931d09f6416186d1314b8f7033fe122c426da8c42
php-lint-ui-fix.txt,22,1422,b8064d6e1cb8bcc292fe17deef7b02c6b8567a3d05cb92be3bab82baa09ba438
php-lint-v3.txt,22,1422,ae9ca159ec9c6aef9b9f530e0e1bb0d7c095bf1f62eb71db51a3a62a2cf47735
php-lint-v5-fix.txt,27,1341,835c21c9584fd769dfee34e9ab8bdb002b257365b8a7ebe0508f3a70b9131966
php-lint-v5-hotfix-2.txt,27,1827,f71078edab315560bc504964e07500832a8ba214c2dfa46e5bbe1386dad070d6
php-lint-v5.txt,27,1341,835c21c9584fd769dfee34e9ab8bdb002b257365b8a7ebe0508f3a70b9131966
php-lint.txt,20,1301,282dbdccc91a903e56fe923e3071d9dbf9962f473e057e7628a58fbe55b5b863
